open,high,low,close,volume,vwap,timestamp,transactions,date,time,ema_5,ema_10,ema_20,atr,upper_band,lower_band,previous,change,average_20_change,put_setup,call_setup,call_buy,call_sell,put_buy,put_sell,call_prices,put_prices
389.06,389.07,389.0,389.07,3752.0,389.0312,2023-01-19 11:21:00+00:00,42,2023-01-19,11:21:00,389.1493974105517,389.2431794732205,389.3414543218218,0.0783359041745007,389.6547979385198,389.0281107051238,389.08,-0.002570165518657,-0.0073171669603167,False,True,True,False,False,False,3.04,0.0
388.88,388.94,388.88,388.89,5467.0,388.9135,2023-01-19 11:55:00+00:00,24,2023-01-19,11:55:00,388.8265657055417,388.8178953777379,388.8509937953117,0.0668604164298791,389.11843546103114,388.58355212959214,388.83,0.0154309081089427,0.0010299576966177,False,False,False,True,False,False,3.33,0.0
389.36,389.75,389.0862,389.72,779107.0,389.3768,2023-01-19 14:30:00+00:00,5131,2023-01-19,14:30:00,389.2871394407566,389.10584642828337,388.972336400199,0.181663364166891,389.6989898568666,388.24568294353145,389.34,0.0976010684748683,0.0134964654767382,True,False,False,False,True,False,0.0,3.08
389.52,389.72,389.28,389.51,197152.0,389.486,2023-01-19 14:36:00+00:00,1796,2023-01-19,14:36:00,389.59397794815976,389.4895054461535,389.28559412789264,0.2482057155102406,390.2784169899336,388.2927712658517,389.5211,-0.0028496530739923,0.0093924941275733,True,False,False,False,False,True,0.0,2.95
389.52,389.61,389.52,389.61,5779.0,389.5808,2023-01-20 12:35:00+00:00,47,2023-01-20,12:35:00,389.47692846844126,389.3756522565536,389.26495003840313,0.0852613250914626,389.605995338769,388.92390473803727,389.51,0.0256732818156203,0.0055233188375383,True,False,False,False,True,False,0.0,2.43
389.91,389.91,389.83,389.83,1245.0,389.8803,2023-01-20 12:59:00+00:00,19,2023-01-20,12:59:00,389.89606318506594,389.8998494618125,389.832155597217,0.0819890633172404,390.160111850486,389.5041993439481,389.87,-0.0102598301998154,0.0017979076035126,False,False,False,False,False,True,0.0,2.3085
389.48,389.49,388.92,388.97,311504.0,389.2157,2023-01-20 14:32:00+00:00,2742,2023-01-20,14:32:00,389.4956836137419,389.66044095121714,389.685371056385,0.1819913366692685,390.4133364030621,388.9574057097079,389.48,-0.1309438225326052,-0.0080811222717221,False,True,True,False,False,False,7.1,0.0
389.04,389.345,388.92,389.23,154713.0,389.132,2023-01-20 14:41:00+00:00,1368,2023-01-20,14:41:00,389.05090118428274,389.0863578584882,389.2427205458693,0.2579733180652296,390.27461381813015,388.21082727360834,389.07,0.041123705245849,-0.0079464541921419,False,True,False,True,False,False,6.744999999999999,0.0
396.11,396.44,396.11,396.44,11362.0,396.3101,2023-01-23 12:43:00+00:00,91,2023-01-23,12:43:00,396.1777814759984,396.0662924641944,395.9324717518647,0.0836172572672793,396.2669407809338,395.5980027227956,396.1,0.0858369098712383,0.0108616827082387,True,False,False,False,True,False,0.0,1.89
396.0,396.0,395.96,395.97,12732.0,395.9932,2023-01-23 12:52:00+00:00,49,2023-01-23,12:52:00,396.0595079060973,396.08400269517904,396.0366609534103,0.0847371115291273,396.3756093995268,395.69771250729383,396.09,-0.030296144815559,0.0020242420289346,False,False,False,False,False,True,0.0,1.7954999999999999
